tradition,"전통,전통,전승"
sacrifice,"산제물을바침,산제물,희생적행위,희생물,싸구려물품,그리스도의헌신,성찬"
superstition,"미신,미신적습관"
sympathy,"공감,위문"
perseverance,인내
disgust,싫음
monopoly,"전매,독차지"
species,"종,인류"
moisture,습기
solitude,"고독,외로움"
candidate,"후보자,지원자,…이될듯한사람,희망자"
environment,"환경,주위의상황,위요,둘러싸고있어영향을주는것"
destiny,"운명,운명의3여신"
hindrance,"방해,방해물,고장"
property,"재산,소유물,소유,소유본능,고유성,소도구,미발표작"
increase,"늘다,커지다,증강하다,고조시키다"
decrease,"줄다,줄다,줄이다,감소량"
courtesy,"예의,정중한행위,특별대우,우대의"
theory,"학설,법칙의체계,숙고"
medium,"수단,보존액"
principle,"원리,근본방침,행동규범,법칙,도의,원동력"
shortcoming,"결점,부족"
crisis,"위기,분리"
policy,"정책,방침,지모,보험증권"
affection,"애정,애착"
homage,경의
conceit,"자만,독단,기발한표현"
hostility,"적의,교전"
frustration,"좌절,계약의목적미달"
victory,승리
triumph,"승리,대성공,업적,승리를차지하다,이겨서좋아하다"
hatred,"증오,몹시싫음"
purpose,"목적,의도,요점"
fantasy,"상상,변덕"
struggle,"발버둥치다,격투하다,고생끝에되다,애써서나아가다"
access,"접근,입수,기억장치에입력하다"
contempt,경멸
convention,"집회,대회참가자,협약,인습,규정"
harmony,"조화,화성법"
scorn,"경멸하다,수치로여기다,조롱"
comment,"논평,해설,주석하다,논평하다"
dignity,존엄
mercy,"자비,감형"
cowardice,겁
logic,"논리학,논리학서적"
eloquence,"웅변,이성에호소하는힘"
pastime,기분전환
talent,"재능,수완,재능,인재,매력적인이성,남자친구"
misery,비참
modesty,"겸손,수줍음,적당함"
circumstance,"주위의사정,자질구레한점,세부"
quality,"질,높은신분,자격,음색"
quantity,"양,양을나타내는기호,음량,음절의장단"
commerce,"상업,통상,의견교환,상업회의소"
conception,"개념,개념작용,고안,태아"
identity,"동일함,항등함수"
legend,"전설,전설문학,설명문,전설적인물,위인전"
trick,"계교,속임수,범죄행위,환각,비열한짓,수법,묘기,기교"
wealth,"부,재산,귀중한산물,부유층"
charity,"사랑,동정,동포애,관용,구호,구호물자,자선단체"
fate,"운명,파멸,종말,운명지우다"
evidence,"증거,증언,증거물건,증인,…의증거가되다"
tension,"긴장,팽팽함,켕김,신장,팽창력,압력"
impression,"인상,감명,인쇄물,…쇄,1회의인쇄총부수,결과"
elegy,애가
strain,"잡아당기다,힘껏작용시키다,크게뜨다,종족,계통,소질,시"
bribe,"뇌물,뇌물을주다"
fame,명성
soul,",정기,정감,권화"
gratitude,감사
sin,"죄,과실,무엄한짓을하다"
crime,"죄,범죄행위,부끄러운짓"
strategy,"전략,계획"
heritage,"세습재산,대대로전해오는것,전승,태어나면서얻는권리,그리스도교도"
strife,"투쟁,경쟁,쟁의"
pollution,"오염,공해"
industry,"산업,제조업,사업,…업,경영자측"
defect,"결점,단점,흠,부족액,도망가다"
sincerity,"성실,표리가없음"
piety,경건
adolescence,"청춘기,사춘기"
phenomenon,"현상,사건,비범한인물"
account,"설명,이야기,답변,중요성,계좌,예금,외상,계정,계산서"
emphasis,"중요성,강세법,강조"
proportion,"비율,크기,큰덩치,비교,조화시키다"
rumor,"소문,평판"
faculty,"능력,수완,자력,학부의교수단,대학·고교의전교직원,의사들,허가"
worship,"예배,예배식,존경의대상"
doctrine,"교의,공식정책,원칙,교전,교전"
pity,"불쌍히여김,유감의원인"
commodity,"상품,제1차상품"
distress,"고민,고민거리,피로,조난"
discourse,"강화,설교,연설,담론,화법,연설하다,논술하다"
function,"기능,목적,관능,작용기,제전,사교적회합,함수적성질의것,함수"
fallacy,"그릇된생각,허위"
violence,"격렬,맹위,격노,폭행,부당한변경,곡해,불일치"
appetite,"식욕,좋아함"
revival,"재생,부흥,재유행,신앙부흥특별전도집회"
foundation,"창설,기초,설립물,기본금,유지기금,심,뜨개바탕"
behavior,"행동,습성,작용"
discipline,"훈련,고행,역경,…에게질서를지키게하다"
poverty,"빈곤,불모,열등,빈약"
threat,위협
menace,"협박,위험한것"
plague,"역병,저주"
capacity,"수용력,흡수력,포용력,열용량,입장,법적자격,전투능력,최대출력"
attitude,태도
merit,"장점,본안"
astronomy,천문학
despair,"절망,자포자기,일을비관적으로생각하다"
patience,인내
confidence,"신임,대담함"
enthusiasm,"열광,열중,열의"
peril,"위험,모험,위험한것,걸다"
livelihood,생계
opportunity,기회
ridicule,"비웃다,바보스러움"
liberty,"자유,해방,허가"
spirit,"정신,신,망령,기백,활동가"
traffic,"교통,교통량,운수,운임수입,부정거래,교환"
remedy,"치료,치료약,보수하다,배상하다,교정하다,제거하다"
symptom,"징후,전조"
tyranny,"전제정치,참주정치국"
prospect,"전망,경치,방위,가망이있는사람,기부할듯한사람"
credit,"신뢰,신망,진실성,지불유예기간,크레디트,대변의기입,대월계정,예금,칭찬,명예가되는것"
profit,"이익,도움이되다"
oblivion,"망각,잊기쉬움,잊혀진상태,무의식,인사불성"
constitution,"구성,골자,기질,정관,규약,율령,설립"
extent,"넓이,지역"
efficiency,능력
genius,"천재,경향,분위기"
nightmare,"악몽,공포감"
benefit,"이익,이득,구제,처참한꼴,…에게이롭다,이득을얻다"
reign,"치세,통치"
ruin,"폐허,잔해,몰락한사람,파산,몰락,타락"
factor,"요인,계수,인자,토지관리인"
vocation,"천직,성직,사명감,정신적생활"
contrast,"대조,대조법,대조적인것,정반대의물건,…와대조하여뚜렷이보이게하다"
welfare,"복지,사회복지,정부복지기관,복지원조를받는"
community,"공동사회,지역사회,집단,공통성"
faith,"신뢰,교"
propaganda,"선전,선전하는주의,포교신학교"
thrift,절약
melancholy,"우울,애수,슬픈"
temper,"기질,참기,풍조,중용,타협"
finance,"재정,재정학"
significance,"중요,취지"
suffrage,"투표,찬의,대도,응도"
rage,"대유행,…광,열의,감동,발광하다,몹시욕하다,매도하다"
thirst,갈증
infancy,"유년,유소,유년시대,유아,요람기"
adoration,숭배
insult,모욕하다
epidemic,"유행성의,보급"
analogy,"유사,유비,유추"
ethics,윤리학
analysis,"분석,분해,분석적검토,해석,분석"
labor,"노동,노동계급,괴로워하고있다"
indignation,분개
substance,"물질,재질"
slang,"속어,은어,야비한말로욕하다"
chaos,혼돈
vigor,"정력,억셈,건전한생장력"
heaven,"하늘,천국의주민"
hell,"지옥,대혼란,마굴"
shame,"부끄러움,수치심,유감된일,모욕하다"
dialect,"방언,지방사투리"
barrier,"방벽,개찰구,출발구,말뚝울타리"
barometer,"기압계,변화의징후"
glory,"영광,광휘"
generosity,"관대,대범한행위"
technology,"과학기술,공학,응용과학"
basis,"기초,원리"
biography,전기
gravity,"중력,위험,죄의무거움"
treaty,"조약,조약문"
advantage,"유리,이익,촉진하다"
vacuum,"진공,진공도,진공을이용한"
economy,"절약,효율적인사용,절약의실례,경제상태,수입,섭리,조직"
bravery,"용감,화려한빛깔,옷치장,화려한옷"
epoch,신기원
courage,용기
sphere,"구체,구형,혹성,지구의,영역,둘러싸다"
achievement,달성
biology,"생물학,생태학,생물학책,생태"
recreation,휴양
gravitation,중력
fury,"격노,격렬,복수의3여신,원령"
behalf,"이익,원조"
generalization,"일반화,일반론"
damage,손해
horizon,"지평선,전망"
degree,"정도,단계,범죄의등급,도,차"
folly,"어리석음,어리석은투자,그런여자가나오는시사풍자극"
heredity,"유전,유전적형질,전통"
describe,"묘사하다,…징후이다,그리다,어떤도형을그리며운행하다"
declare,"선언하다,선고하다,으뜸패로선언하다,주장을진술하다"
approve,찬성하다
recommend,"추천하다,제시하다"
reconcile,화해시키다
contribute,"기부하다,한도움이되다"
distribute,"분배하다,배포하다,유통시키다,분포되다"
extinguish,"끄다,소멸시키다"
survive,"살아남다,잔존하다,아랑곳하지않다"
contrast,"대조,대조법,대조적인것,정반대의물건,…와대조하여뚜렷이보이게하다"
invade,"침략하다,퍼지다,대거몰려오다"
upset,"뒤엎다,…의정신을못차리게하다"
accomplish,"이루다,끝내다,달하다"
violate,"위배하다,저버리다"
stride,"큰걸음으로걷다,보조"
forbear,"삼가다,참다"
calculate,"계산하다,계산해내다,어림잡다"
blame,나무라다
plow,"쟁기,쟁기비슷한것,제설기,배장기,개탕대패,농업,경작지,북두칠성,경작에적합하다,힘들여읽다"
grasp,"붙잡다,끌어안다,잡다"
stumble,"발부리가걸리다,죄를짓다,막히다,보행불능"
require,"필요로하다,…할필요가있다,…을명하다,…을요청하다,들다,필요하다"
cancel,"취소하다,해제"
deceive,"속이다,현혹시키다,…을속여서…하게하다,배반하다"
combine,"결합시키다,합병시키다,연합하다,합병하다,연합"
relate,"이야기하다,…사이의관계를설명하다,가리키다"
arrest,"체포하다,검거하다,억류,구인장치,압류"
embody,"구체화하다,편성하다"
select,"고르다,발탁하다,뽑다,정선한,발췌한"
persist,"고집하다,존속하다"
tremble,"떨리다,떨다,떨리는목소리로말하다"
isolate,"고립시키다,분리하다,격리집단"
desert,"사막,황야,불모지대,버리다,탈주하다,없어지다,지워지다,탈영하다"
establish,"설립하다,성립시키다,정하다"
vary,"바꾸다,다르다"
investigate,조사하다
vanish,사라지다
lament,슬퍼하다
stretch,"잡아늘이다,깔다,부설하다,힘껏사용하다"
starve,"굶어죽다,몹시배고프다,굶겨죽이다,…에게갈망하게하다"
generate,"일으키다,생겨나다,발생하다"
reform,"개정하다,교정하다,제거"
possess,"소유하다,점유하다,지배하다,움직이게만들다"
devote,"바치다,봉납하다"
tend,"돌보다,경향이있다,쉽다"
pursue,"쫓다,따라다니다,속행하다"
attach,"붙이다,압류하다,부수하다,소속되다"
perish,"죽다,사라지다,붕괴하다,썩다,부패하다,죽게하다"
dispose,배치하다
quit,"그만두다,놓다,사직하다"
secure,"안전한,무너지지않는,단단하게잠긴"
reveal,"문설주,창틀,드러내다,밝히다,폭로"
persuade,"설득하다,겨우얻어내다"
gaze,뚫어지게보다
restore,"복구하다,원형복구하다"
heal,고치다
acquire,"취득하다,몸에익히다,불법으로손에넣다"
halt,"멈추다,정지하다,주둔하다,끝내다,쉬게하다,멈춤,주둔,주저하다,망설이다,머뭇거리며말하다,의아해하다,논리가일관되지않다,절뚝거리다"
maintain,지속하다
mourn,"슬퍼하다,애도하다,애도하다,슬퍼하며말하다"
suspect,짐작하다
grumble,"투덜거리다,불평"
entertain,즐겁게하다
utilize,이용하다
convert,"변하게하다,횡령하다,전환하다,태환하다,환산하다,원금에가산하다"
despise,"경멸하다,혐오하다"
commence,"개시하다,개업하다"
consume,"소비하다,낭비하다"
assimilate,"자기것으로흡수하다,소화하다,동질이되다,동화되다"
impose,"지우다,편승하다,강요하다"
encounter,"만나다,경기"
release,"석방하다,투하하다,면제하다,발매하다,발표하다"
specialize,"특수화하다,전문화하다,전문으로삼다"
respond,"대답하다,대응주,붙임기둥"
soar,"높이치솟다,하늘을날다,폭등하다"
comprehend,이해하다
detect,"발견하다,간파하다,검출하다"
qualify,"…에게자격을주다,적임으로하다,법적권능을부여하다,수정하다,…의뜻을한정하다"
decorate,"장식하다,페인트를칠하다"
accelerate,"속력을빠르게하다,촉진하다"
betray,"팔다,저버리다,드러내다"
dominate,"지배하다,특징지우다"
preserve,"보호하다,유지하다,모아두다,잃지않다,간수해두다,소금에절이다,통조림하다,저장하다"
entreat,간청하다
lack,부족
interrupt,"가로막다,도중에서방해하다,중단하다,일시적으로중단하다,방해"
surpass,"…보다낫다,너무…하여할수없다"
render,"…을…하게하다,드리다,내리다"
export,"수출하다,밖으로전하다,수출액"
fulfil,"다하다,끝내다,완수하다,성취시키다,채우다"
inspect,면밀하게살피다
indulge,빠지다
prevail,우세하다
adjust,"조절하다,조정하다,조정하다"
estimate,견적
compensate,"보상하다,보수를치르다"
restrain,억제하다
appreciate,"진가를인정하다,높이평가하다,감상하다,통찰하다"
insist,"강요하다,조르다,역설하다,강요하다"
acknowledge,"인정하다,승인하다,답하다"
distinguish,"구별하다,구분하다,…의차이를나타내다"
involve,"포함하다,뜻하다,밀접한관계가되다"
intrude,억지로들이닥치다
torment,"고통,귀찮은것,고문도구,고문의고통"
exhaust,"다써버리다,비우다,내용물을비우다,소모하다,배기가스,배기장치"
endure,"참다,지속하다"
hesitate,"주저하다,꺼리다"
substitute,"대리를시키다,보결선수,대역,대용품"
prohibit,"금하다,금하다,불가능하게하다"
forbid,"금하다,불가능하게하다"
display,"전시하다,발휘하다,과시하다,표시되다,전시품,표명,표현"
concentrate,"집중하다,모으다,농축사료,정광"
yearn,"동경하다,그리워하다"
forsake,"저버리다,단념하다"
endeavor,노력
soothe,"달래다,위로하다"
congratulate,축하하다
confuse,혼동하다
improve,"개선하다,증진하다"
diffuse,"흐트러뜨리다,발산하다,두루베풀다,확산하다,산만한"
alter,"변경하다,개조하다,난소를제거하다,일변하다,늙다"
speculate,"사색하다,추측하다,투기매매하다"
recover,"되찾다,찾아내다,받다,되찾다,재생시키다"
urge,"몰아대다,열심히권하다,격려하다"
command,"명령하다,요구하다,마음대로하다,내려다보다"
warn,"경고하다,예고하다"
transport,"수송하다,어쩔줄모르게하다,수송기관,여객기,추방자"
ignore,"무시하다,기각하다"
conceal,"숨기다,비밀로하다"
utter,"입밖에내다,발언하다,발음하다,언명하다,퍼뜨리다,전적인"
flatter,"아첨하다,추켜세워서…시키다,납작하게만드는사람"
absorb,"흡수하다,흡수병합하다,받다"
yield,"산출하다,초래하다,굴복하다,포기하다,열매가맺히다"
meditate,"꾀하다,숙고하다"
perform,"이행하다,수행하다,성취하다,연주하다,타다"
embarrass,어리둥절하게하다
reproach,"비난하다,꾸짖다,수치가되는것"
bewilder,당황하게하다
overcome,"이기다,압도하다,무기력하게하다"
assert,"단언하다,고집하다,저절로밝혀지다"
recognize,"인정하다,인가하다,인사하다"
admit,"들이다,입장을허락하다,허락하다,부여하다,인정하다,승인하다"
persecute,"박해하다,혹사하다"
launch,"진수시키다,시장에내다,출판하다,발사하다,날려보내다,론치"
pretend,"…인체하다,주장하다"
circulate,"순환하다,부지런히돌아다니다,퍼지다,유통하다,돌리다"
contemplate,"심사숙고하다,묵상하다,몽상하다,명상하다"
cope,"대항하다,대처하다,…와접촉하다,만들다"
adapt,"적응시키다,개작하다,익숙해지다"
alarm,"놀람,자명종,놀라게하다,경보기를설치하다"
adopt,"채용하다,받아들이다,차용하다,으로받아들이다"
submit,"복종시키다,기탁하다,맡기다,감수하다,받다"
convince,확신시키다
repent,"포복성의,후회하다"
predict,예언하다
avoid,피하다
boast,"자랑하다,호언장담하다,자랑하다,가지다,자랑이야기,대강다듬다"
participate,참여하다
abolish,폐지하다
attribute,"…에귀착시키다,…의덕분으로돌리다,것으로하다,한정사,속성"
survey,"바라보다,이리저리뜯어보다,살펴보다"
invest,"투자하다,부여하다,돈을쓰다"
seek,"찾다,조사하다,찾아내다"
communicate,"전달하다,전하다,통신하다"
perplex,"난처하게하다,정신을못차리게하다"
broadcast,"방송하다,제공하다,방송에나오다,스폰서가되다,방송업계,방송프로,방송시간"
reject,"거절하다,불합격자"
vex,초조하게하다
overlook,"못보고지나치다,…보다높은데있다,검열하다"
reinforce,"강화하다,보충하다,증진하다"
accuse,"고발하다,비난하다"
restrict,제한하다
attain,달성하다
cherish,"소중히하다,고이간직하다"
suspend,"매달다,통하지않게하다,정직시키다"
inherit,"상속하다,계승하다"
bestow,주다
undertake,"맡다,기도하다,보증하다"
include,"…을포함하다,계산하다"
exclude,"못들어오게하다,제외하다"
justify,옳다고하다
annoy,"성가시게굴다,굴욕감을느끼게하다,불쾌한짓을하다"
esteem,"존경하다,중하게여기다,평가"
cure,"별난사람,치료하다,해결하다,건조시키다,낫다,경화되다"
resign,"사임하다,버리다,파기하다,따르다"
accurate,"정확한,정밀한"
rational,"이성이있는,도리를아는자"
literate,"글을읽고쓸줄아는,박식한,유식한사람"
conservative,"보수적인,방부제"
radical,"근본적인,극단적인,근호의,무리함수의"
pure,"순수한,맑은,순정의,고결한,품위있는"
queer,"기묘한,현기증나는,머리가돈,쓸모없는,가짜의"
sane,"제정신의,사리분별이있는"
genuine,진짜의
vague,막연한
entire,"전체의,시종일관한"
absurd,불합리한
lonely,"고독한,인적이드문"
savage,"A야만적인,사나운"
nuclear,"핵의,주요한"
obscure,"분명치않은,세상에알려지지않은,흐린,어둠에싸인"
intricate,"얽힌,난해한"
mortal,"죽어야할운명의,죽음에관한,이세상의,생명을건"
vivid,생생한
arrogant,거만한
exotic,"이국적인,색다른,이국적인취미"
extreme,"극도의,극도,양극단의한쪽,양극단,극단적인수단"
imperative,"피할수없는,필수적인,위엄있는,필요,명령법의동사,명령형"
mature,"익은,숙성한,원숙한,현명한,신중한,익히다"
tight,"단단한,굳은,갈라진틈이없는,가득찬,꽉짜인,극단적으로압축된"
adequate,충분한
dissolute,"방종한,방탕한"
mutual,"서로의,서로관계있는"
splendid,"화려한,당당한,눈부신,근사한"
timid,"겁많은,두려워하는,결단력이부족한"
durable,"영속성있는,오래견디는"
conspicuous,"눈에띄는,저명한"
brisk,"활발한,번창하는"
primitive,"원시의,태고의,야만의,유치한,원색의"
superficial,"표면의,피상적인"
brilliant,빛나는
conscious,의식하고있는
abstract,"추상적인,관념적인,추상개념,추출하다"
concrete,"구체적인,명확한,구체명사"
profound,"깊은,뜻깊은,의미심장한,충분한,깊은속마음"
supreme,"최고의,최고의상태"
trivial,"하찮은,사소한"
apparent,또렷이보이는
thorough,"철저한,절대적인,철저한탄압정책"
athletic,"경기의,체육의,운동선수용의,발랄한"
absolute,절대적인
meager,"메마른,불충분한,풍부하지못한,부적격한"
ultimate,"최후의,최고의"
initial,"처음의,첫글자"
solemn,"엄숙한,격식차린"
notorious,유명한
sublime,"장엄한,절정"
immemorial,사람의기억에없는
constructive,"건설적인,추정적인"
destructive,"파괴적인,부정적인"
temporary,"일시적인,임시고용인"
contemporary,"같은시대의,현대인,동년배의사람"
aloof,떨어져서
indispensable,없어서는안되는
juvenile,"소년의,소년에알맞은,유치한,어린이역"
abnormal,"비정상의,변칙의,정상이상의"
external,"외부의,외용의,피부용의,형식상의"
rare,"드문,매우재미있는,매우큰,설익은"
main,"주된,주요부를이루는,망망대해,정맥에주사하다,부름수"
complex,"복잡한,〈문장이〉복합의"
bold,"대담한,도전적인,굵은"
crude,"천연그대로의,생짜의,소화가안된,초기인,원유"
polite,"공손한,상류의"
current,"지금의,습관적인,조류,해류"
severe,"엄한,호된,비판적인,가혹한,용서없는,엄숙한"
remote,"먼,외딴,혈족관계가먼,동떨어진"
deliberate,"신중한,숙의하다,심의하다"
separate,"가르다,이간하다,추출하다,분산시키다,분리하여생각하다"
physical,"육체의,물질의,형이하의,몸을만지기좋아하는"
eternal,"영원한,불후의"
unique,"유일한,비길바없는"
transparent,"투명한,비쳐보이는"
swift,"빠른,즉석에서의,짧은,관칼새"
surplus,"나머지,과잉,잉여농산물,잉여의"
obstinate,"완고한,난치의"
stubborn,"완고한,좀처럼낫지않는,잘녹지않는"
dense,"밀집한,농밀한,농후한,불투명한,지독한"
familiar,"잘알려진,통속적인"
shrewd,"예민한,영리한,영리해보이는,불길한"
remarkable,"주목할만한,두드러진,이상한"
punctual,"시간을잘지키는,…을꼭지키는"
terrible,무서운
rude,"버릇없는,미개의,격렬한"
earnest,"진지한,열렬한,계약금"
typical,"전형적인,특징을나타내는"
sole,"서대기,발바닥,밑판,썰매의밑면,골프채의밑바닥,화로받침판,대패의바닥,보습의밑바닥"
fundamental,"기본적인,A타고난,필수의,기본의,원리"
intense,"강렬한,일사불란한,매우짙은"
essential,"A본질적인,없어서는안될,주요점"
distinct,"별개의,독특한,명확한,여러가지색깔의,눈에띄는"
particular,"A특별한,특정한,각자의,각별한,까다로운,특수적인"
subtle,"미묘한,포착하기어려운,불가사의한,이해하기어려운,미세한,엷게퍼지는,마음놓을수없는,잠재성인"
ordinary,"평상의,보통이하의,수수한,예사,보통의상태"
vulgar,"상스러운,저속한,일반의,널리알려진,자국어의"
preferable,오히려나은
strict,엄한
naked,벌거벗은
feminine,"여자의,여성다운,상냥한,여성형"
deficient,"부족한,불완전한,투미한"
tender,"부드러운,섬세한,약한,친절한,돌보는사람,지키는사람,보급정비함,급수기"
incurable,"불치의,구제불능자"
infinite,"무한한,무량의"
irresistible,"저항할수없는,억누를수없는,뇌쇄적인"
barren,"불모의,열매를맺지않는,초라한,무력한"
annual,"1년의,한해한번씩의"
precise,"정확한,명확한"
native,"출생지의,토박이의,모국어를하는"
constant,"불변의,P끝까지지키는,상수,율,정항,필수기초과목"
concise,간결한
moral,"A도덕의,순결한,격언,우화극"
delicate,"섬세한,우아한,아름다운,정교한,예민한,까다로운"
ambiguous,"두가지뜻으로해석할수있는,다의의,분명하지않은,확실치않은"
neutral,"중립의,중립국의,이도저도아닌,중립자"
sacred,"신성한,신성시되는"
resolute,"굳게결심한,단호한,의연한,…할결의인"
instructive,교육적인
unanimous,합의의
decent,맞는
legal,법률의
ancient,"고대의,고덕의"
precious,"귀중한,고귀한,사랑하는,훌륭한,대단한,엄청난"
stern,"엄격한,가혹한,험한,고물,엉덩이,이리꼬리"
education,"교육,사육"
prey,먹이
tumult,소란
surrender,"넘겨주다,인도하다,내주다,자수하다,양보하다,자수하다,양도"
reputation,평판
landscape,풍경
posterity,자손
offspring,"자식,자손"
growth,"성장,종양,생산"
orbit,"궤도,행로,세력권,안구공,눈,발사하여궤도에올리다,궤도를그리며돌다"
channel,"현측계류판,수로,가항수로,항로,주파수대,마약경로,전달루트,경로,암거,수관,분야,유상"
ancestor,조상
justice,"정의,공정,공평,치안판사,고등법원판사"
theme,"주제,화제,주제음악"
routine,"판에박힌일,차례,일정한일련의댄스스텝"
protest,"항의하다,단언하다,증언하다,지불을거절하다"
tendency,경향
prophecy,"예언,예언능력,신의의전달"
career,"직업,진전,생애의,재빨리움직이게하다"
advertisement,광고
role,배역
origin,"기원,원인,수원"
process,"과정,변천,작용,배경을이어맞추는영화수법,줄지어가다"
agriculture,"농업,농학"
skyscraper,마천루
nuisance,폐
vote,"투표,투표방법,투표용지,의결권,표밭,의결액"
spur,"박차,동기,가시,돌출부,며느리발톱,아이젠"
average,"평균,평균치,평균선에이르다"
category,범주
doom,운명
utility,"유용,효용,공리,공익사업체,최대다수의최대행복"
slavery,"군침흘리는,노예의신세"
antipathy,반감
caution,"조심,희한한사람,보증서,훈계하다"
reaction,"반작용,반항,상호작용,반작용,핵반응"
atmosphere,"대기,가스체"
satellite,"위성,인공위성,위성도시,아부자,식객,종속된"
sage,"샐비어,슬기로운,사려깊은,점잔빼는,경험이풍부한현자"
excess,"초과,과다,과도,폭음,지나친행위"
architecture,건축
prose,"산문,산문체,무미건조한이야기,산문으로옮기다"
temperature,온도
purchase,"사다,구입물,가치"
oracle,"신탁,신탁소,성경,현인"
heir,"상속인,후사"
applause,"박수,칭찬"
anarchy,무정부상태
scrutiny,"정밀한조사,뚫어지게보기"
sculpture,조각
notion,"관념,의견,이해,변덕"
diplomacy,"외교,외교적수완,절충의재능"
decade,"10년간,10권"
witness,"목격자,증명,증언하다,…을나타내다"
thermometer,온도계
usage,"관습,관습,언어용법,사용량,대우"
institution,"학회,그건물,법령,제정,성직수임"
exertion,"노력,매우힘든일"
feature,"특징,주안점,얼굴의어느한부분,용모,볼거리,장편영화"
disguise,"변장시키다,분장,가면,가장복,구실"
congress,"국회,회기"
germ,"세균,기원,생식세포"
algebra,대수
geometry,"기하학,기하학연구,평면도형,외형"
sojourn,"묵다,체재하다"
expedition,"원정,여행"
definition,"한정,명확"
issue,"발행물,발행부수,발행,하구,유출물,논쟁"
conflict,"투쟁,알력,극적대립"
disaster,"재해,불행,실패작,엉망진창인것"
focus,"초점,초점정합,진원,초점을맞추다,분명하게맞추다,집중하다"
budget,"예산,가계"
intercourse,교제
ceremony,"의식,격식차림"
regret,"유감,후회,애도"
enterprise,"기획,계획,모험적인사업,기업경영"
ravage,"파괴,파괴의맹위,…을상하게하다"
tragedy,"비극,비극,비극의여신,비극적사건"
miser,구두쇠
muscle,"근,영역을침범하다"
unemployment,"실직,실업률"
arithmetic,"산수,산수책,계산"
skill,"솜씨,숙련,익숙함,문제가되다,도움이되다"
instrument,"기계,매개"
equator,적도
structure,구조
mode,"방법,음계,유행"
aristocracy,"귀족정치,귀족정치의나라,상류계급"
wage,"임금,급료"
zeal,열심
trial,"n.,공판,어려운상황"
burden,"반복구,장단맞추는노래,무거운짐,짐나르기,부담"
tribe,"부족,패거리"
realm,"왕국,국토,권"
fright,"공포,소스라쳐놀람"
demand,"요구하다,묻다,청구"
supply,"공급하다,공급하다,충족하다,나긋나긋하게,온순하게"
intelligence,"지능,정보수집"
frame,"창틀,틀,테,테두리,테두리틀,자수틀,세광반,식자대,프레임,체격,여자의몸매,차체,늑재,회,한게임"
hobby,"새호리기,취미,장기"
source,원천
twilight,"여명,어스름,중간상태"
fever,"열,열광,흥분시키다,열망하다"
relief,"제거,원조물자,기분전환거리,교체자,부조"
refuge,"피난,보호,안전지대,핑계"
experiment,"실험,해봄"
expense,"지출,수당"
reliance,신뢰
grief,"큰슬픔,고통"
effect,"결과,효력,효험,의성음발음기,감명,효과,물품,개인자산"
scope,"스코프,범위,시야,지역"
habit,"관습,경향,의복"
defense,"방어,방어시설,수비,변호,피고측"
aviation,"비행,비행술,항공기산업"
navigation,항해
resource,"자원,원천"
cruelty,잔학
negligence,"태만,부주의,무관심,과실"
bliss,더없는기쁨
delay,"늦추다,시간이걸리다,유예"
contact,"접촉,연락,연고,상접,접전,지상관찰,교신"
poison,"독,해로운주의,독살하다"
awe,외경
nutrition,"영양물섭취,영양,영양물"
obligation,"의무,양심의명령,채무증서,채무"
reward,"보수,보답하다"
peer,"동등한사람,동배,대등한사람,상원의원,자세히들여다보다"
controversy,"논쟁,논전"
